Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Primary Key
64,James Reimer,36,2TM,G,9,7,1,5,1,24,221,197,.891,3.05,0,472:08,5,.714,2,109,-2.1,3.30,1.1,0,0,0,0,reimeja01
64,James Reimer,36,ANA,G,2,2,0,2,0,9,66,57,.864,4.50,0,120:00,1,.500,1,137,-2.5,5.00,0.1,0,0,0,0,reimeja01
64,James Reimer,36,BUF,G,7,5,1,3,1,15,155,140,.903,2.56,0,352:08,4,.800,1,98,0.4,2.73,1.0,0,0,0,0,reimeja01
65,Yaroslav Askarov,22,SJS,G,8,8,3,3,2,19,230,211,.917,2.39,0,477:08,6,.750,1,83,3.8,2.52,1.8,0,1,1,0,askarya01
66,Joel Blomqvist,23,PIT,G,8,7,3,5,0,25,261,236,.904,3.60,0,416:13,4,.571,1,97,0.9,3.89,1.7,0,0,0,0,blomqjo01
67,Thatcher Demko,29,VAN,G,8,8,2,2,3,24,205,181,.883,3.17,0,453:37,4,.500,3,118,-3.7,3.44,0.9,0,0,0,0,demkoth01
68,Ville Husso,29,DET,G,8,7,1,4,2,22,179,157,.877,3.47,0,380:34,4,.571,2,124,-4.2,3.78,0.6,0,0,0,0,hussovi01
69,Devon Levi,23,BUF,G,8,7,2,6,0,28,225,197,.876,3.97,0,422:47,2,.286,1,125,-5.7,4.26,0.8,0,0,0,0,levide01
70,Arturs Silovs,23,VAN,G,7,6,1,4,1,25,163,138,.847,4.11,0,365:00,1,.167,3,155,-8.8,4.44,0.1,0,0,0,0,silovar01
71,Leevi Merilainen,22,OTT,G,6,5,4,2,0,13,150,137,.913,2.34,1,332:51,3,.600,2,87,1.9,2.52,1.1,0,0,0,0,merille01
72,Jet Greaves,23,CBJ,G,5,5,2,1,2,15,159,144,.906,2.98,0,301:38,2,.400,0,95,0.8,3.18,1.0,0,0,0,0,greavje01
73,Dennis Hildeby,23,TOR,G,5,5,3,2,0,16,138,122,.884,3.18,0,301:35,2,.400,2,117,-2.3,3.38,0.6,0,0,0,0,hildede01
74,Dustin Tokarski,35,CAR,G,5,5,4,1,0,10,108,98,.907,2.00,1,300:36,3,.600,2,93,0.7,2.20,0.7,0,0,0,0,tokardu01
75,Frederik Andersen,35,CAR,G,4,4,3,1,0,6,101,95,.941,1.48,0,242:26,4,1.000,0,60,4.0,1.48,1.0,0,0,0,0,anderfr01
76,Marcus Hogberg,30,NYI,G,4,2,1,1,0,4,80,76,.950,1.56,0,153:24,2,1.000,0,50,3.9,1.56,0.9,0,0,0,0,hogbema01
77,Jaxson Stauber,25,UTA,G,4,4,2,1,1,9,120,111,.925,2.23,1,242:25,3,.750,0,76,2.9,2.48,1.0,0,0,0,0,staubja01
78,Jakub Dobes,23,MTL,G,3,3,3,0,0,3,74,71,.959,.97,1,185:59,2,.667,0,41,4.3,.97,0.9,0,0,0,0,dobesja01
79,Drew Commesso,22,CHI,G,2,1,0,1,0,4,26,22,.846,3.36,0,71:21,0,.000,1,155,-1.4,3.36,0.0,0,0,0,0,commedr01
80,Trent Miner,23,COL,G,2,1,0,1,0,4,33,29,.879,2.62,0,91:38,0,.000,0,122,-0.7,2.62,0.1,0,0,0,0,minertr01
81,Matt Murray,30,TOR,G,2,2,1,1,0,7,58,51,.879,3.54,0,118:39,0,.000,0,122,-1.2,4.05,0.2,0,0,0,0,murrama02
82,Mads Sogaard,24,OTT,G,2,1,1,1,0,8,40,32,.800,5.24,0,91:33,0,.000,1,202,-4.0,5.90,-0.2,0,0,0,2,sogaama01
83,Jesper Wallstedt,22,MIN,G,2,2,0,2,0,8,51,43,.843,4.09,0,117:26,0,.000,1,158,-2.9,4.60,0.0,0,0,0,2,wallsje01
84,Pheonix Copley,33,LAK,G,1,0,0,0,0,2,12,10,.833,4.37,0,27:29,0,,0,168,-0.8,4.37,0.0,0,0,0,0,copleph01
85,Sebastian Cossa,22,DET,G,1,0,1,0,0,2,14,12,.857,2.67,0,45:00,0,,0,144,-0.6,2.67,0.0,0,0,0,0,cossase01
86,Louis Domingue,32,NYR,G,1,1,1,0,0,2,27,25,.926,2.00,0,60:00,1,1.000,0,75,0.7,2.00,0.2,0,0,0,0,dominlo01
87,Kaapo Kahkonen,28,COL,G,1,1,0,1,0,4,20,16,.800,4.12,0,58:16,0,.000,1,202,-2.0,4.12,-0.1,0,0,0,0,kahkoka01
88,Yaniv Perets,24,CAR,G,1,0,0,0,0,1,7,6,.857,7.32,0,8:12,0,,0,144,-0.3,7.32,0.0,0,0,0,0,peretya01
89,Erik Portillo,24,LAK,G,1,1,1,0,0,1,29,28,.966,1.02,0,58:37,1,1.000,0,35,1.9,1.02,0.4,0,0,0,0,portier01
90,Akira Schmid,24,VEG,G,1,0,0,0,0,0,12,12,1.000,.00,0,33:25,0,,0,0,1.2,.00,0.2,0,0,0,0,schmiak01
