"Rk","Player","Age","Team","Pos","GP","G","A","PTS","+/-","PIM","EVG","PPG","SHG","GWG","EVA","PPA","SHA","SOG","SPCT","TSA","TOI","ATOI","FOW","FOL","FO%","BLK","HIT","TAKE","GIVE","Primary Key"
484,Colton Sissons,31,NSH,C,41,4,4,8,-13,16,4,0,0,0,4,0,0,40,10.0,80,585.43,14.28,226,176,56.2,44,54,13,20,sissoco01
485,Oskar Sundqvist,30,STL,C,32,3,5,8,-1,22,2,1,0,0,5,0,0,22,13.0,54,406.18,12.7,120,161,42.7,29,45,8,22,sundqos01
486,Alexandre Texier,25,STL,C,23,3,5,8,-2,6,3,0,0,0,4,1,0,36,8.0,63,291.7,12.68,0,2,0.0,9,12,3,9,texieal01
487,Henry Thrun,23,SJS,D,38,0,8,8,-7,15,0,0,0,0,8,0,0,34,0.0,77,641.78,16.88,0,0,,43,28,9,20,thrunhe01
488,Nathan Walker,30,STL,C,38,4,4,8,-4,24,4,0,0,0,3,0,1,35,11.0,69,443.02,11.67,58,54,51.8,22,129,4,23,walkena01
489,Kasperi Kapanen,28,EDM,RW,33,5,3,8,-11,8,5,0,0,2,3,0,0,33,15.0,64,390.53,11.83,0,4,0.0,7,43,3,23,kapanka01
490,Philip Tomasino,23,PIT,C,28,4,4,8,-4,2,2,2,0,3,2,2,0,50,8.0,78,355.55,12.7,5,4,55.6,12,24,5,12,tomasph01
491,Jacob Trouba,30,ANA,D,42,0,8,8,-7,30,0,0,0,0,8,0,0,70,0.0,153,860.08,20.48,0,0,,126,87,14,44,troubja01
492,Morgan Barron,26,WPG,C,44,4,3,7,4,8,2,0,2,0,3,0,0,51,7.0,93,459.27,10.43,19,12,61.3,28,72,17,20,barromo01
493,Brett Berard,22,NYR,LW,19,3,4,7,-9,8,3,0,0,1,4,0,0,32,9.0,59,215.28,11.33,2,2,50.0,9,27,4,13,berarbr02
494,Ben Chiarot,33,DET,D,41,1,6,7,-2,39,1,0,0,0,5,1,0,46,2.0,127,868.27,21.18,0,0,,82,58,17,48,chiarbe01
495,Jake Christiansen,25,CBJ,D,43,1,6,7,2,11,1,0,0,0,6,0,0,46,2.0,106,567.13,13.18,0,0,,40,28,7,33,chrisja01
496,Connor Clifton,29,BUF,D,41,0,7,7,4,27,0,0,0,0,7,0,0,32,0.0,107,637.13,15.53,0,0,,64,119,18,44,cliftco01
497,Pierre Engvall,28,NYI,LW,27,3,4,7,-4,10,3,0,0,1,4,0,0,30,10.0,52,323.75,11.98,4,7,36.4,6,11,3,18,engvapi01
498,Radek Faksa,31,STL,C,32,2,5,7,-7,14,2,0,0,0,5,0,0,31,6.0,63,415.65,12.98,180,153,54.1,21,50,6,13,faksara01
499,Mario Ferraro,26,SJS,D,45,3,4,7,-19,28,3,0,0,1,4,0,0,43,7.0,102,912.43,20.28,0,0,,64,102,25,44,ferrama01
500,Jordan Greenway,27,BUF,LW,20,3,4,7,-1,13,3,0,0,0,4,0,0,24,12.0,54,318.38,15.92,1,10,9.1,19,54,5,8,greenjo02
501,Trevor Lewis,38,LAK,C,29,3,4,7,3,10,3,0,0,0,4,0,0,28,10.0,58,311.95,10.75,58,54,51.8,16,51,2,8,lewistr01
502,Hampus Lindholm,31,BOS,D,17,3,4,7,-4,4,3,0,0,1,3,1,0,35,8.0,81,354.55,20.85,0,0,,17,5,14,30,lindhha01
503,Isac Lundestrom,25,ANA,C,41,4,3,7,-3,2,4,0,0,1,3,0,0,36,11.0,61,583.38,14.23,249,266,48.3,39,27,11,17,lundeis01
504,Anthony Mantha,30,CGY,RW,13,4,3,7,6,11,2,1,1,1,3,0,0,15,26.0,35,180.73,13.9,3,6,33.3,8,16,3,7,manthan01
505,Scott Mayfield,32,NYI,D,41,2,5,7,13,23,2,0,0,0,5,0,0,33,6.0,99,722.15,17.62,0,0,,70,64,12,37,mayfisc01
506,Brayden McNabb,34,VEG,D,43,2,5,7,23,20,1,0,1,0,4,0,1,53,3.0,130,877.87,20.42,0,0,,95,66,8,45,mcnabbr01
507,K'Andre Miller,25,NYR,D,36,2,5,7,-5,10,2,0,0,0,5,0,0,59,3.0,127,777.73,21.6,0,0,,50,65,25,45,milleka01
508,Adam Pelech,30,NYI,D,22,0,7,7,1,8,0,0,0,0,7,0,0,45,0.0,95,455.28,20.7,0,0,,32,37,10,25,pelecad01
509,Brett Pesce,30,NJD,D,36,1,6,7,-3,11,0,0,1,0,6,0,0,47,2.0,107,751.88,20.88,0,0,,74,14,14,29,pescebr01
510,Dylan Samberg,26,WPG,D,23,3,4,7,14,18,3,0,0,1,4,0,0,30,10.0,72,473.43,20.58,0,0,,35,26,15,28,sambedy01
511,Cole Schwindt,23,VEG,RW,36,0,7,7,2,0,0,0,0,0,7,0,0,30,0.0,57,338.87,9.42,98,96,50.5,15,31,6,18,schwico01
512,Logan Stanley,26,WPG,D,30,1,6,7,4,59,1,0,0,0,6,0,0,19,5.0,60,482.83,16.1,0,0,,46,35,6,28,stanllo01
513,Conor Timmins,26,TOR,D,37,1,6,7,3,18,1,0,0,0,6,0,0,38,2.0,96,622.18,16.82,0,0,,56,26,8,32,timmico01
514,Yakov Trenin,28,MIN,C,39,3,4,7,6,20,1,0,2,0,4,0,0,34,8.0,80,528.7,13.55,7,17,29.2,19,116,7,24,treniya01
515,Zach Whitecloud,28,VEG,D,36,3,4,7,5,14,3,0,0,0,4,0,0,39,7.0,90,599.1,16.65,0,0,,56,52,5,40,whiteza01
516,Juuso Parssinen,23,COL,C,22,3,4,7,-6,4,3,0,0,0,3,1,0,16,18.0,34,252.15,11.47,56,53,51.4,10,36,2,9,parssju01
517,Adam Boqvist,24,FLA,D,18,2,4,6,-4,6,2,0,0,0,1,3,0,21,9.0,53,231.17,12.85,0,0,,10,6,4,8,boqviad01
518,Jonny Brodzinski,31,NYR,C,20,3,3,6,4,4,3,0,0,0,3,0,0,25,12.0,43,208.35,10.42,29,27,51.8,9,8,3,8,brodzjo01
519,Calvin de Haan,33,COL,D,33,0,6,6,-7,8,0,0,0,0,6,0,0,37,0.0,103,495.92,15.03,0,0,,47,46,4,28,dehaaca01
520,Anthony Duclair,29,NYI,LW,14,3,3,6,-3,4,2,1,0,0,3,0,0,19,15.0,39,220.82,15.77,0,0,,6,6,1,18,duclaan01
521,Adam Edstrom,24,NYR,C,42,3,3,6,-8,23,3,0,0,1,3,0,0,33,9.0,62,381.45,9.08,0,3,0.0,24,76,5,16,edstrad01
522,Ty Emberson,24,EDM,D,41,0,6,6,-3,14,0,0,0,0,5,0,1,35,0.0,89,611.87,14.92,0,0,,59,60,22,20,emberty01
523,Michael Eyssimont,28,TBL,C,39,4,2,6,-3,28,4,0,0,1,2,0,0,70,5.0,124,430.03,11.03,1,5,16.7,15,57,3,20,eyssimi01
524,Haydn Fleury,28,WPG,D,25,0,6,6,-7,4,0,0,0,0,6,0,0,27,0.0,74,431.0,17.23,0,0,,44,31,2,27,fleurha01
525,Noah Gregor,26,OTT,C,35,4,2,6,-10,17,3,0,1,2,2,0,0,42,9.0,106,404.75,11.57,2,2,50.0,22,67,5,13,gregono01
526,Pontus Holmberg,25,TOR,RW,33,2,4,6,-3,19,1,0,1,0,4,0,0,26,7.0,67,430.95,13.07,67,71,48.6,26,14,4,15,holmbpo01
527,David Kampf,30,TOR,C,31,2,4,6,-2,6,2,0,0,0,3,0,1,27,7.0,41,399.27,12.88,155,132,54.0,14,25,8,20,kampfda01
528,Tye Kartye,23,SEA,F,41,3,3,6,-13,26,3,0,0,0,3,0,0,39,7.0,75,425.4,10.38,2,9,18.2,18,127,1,17,kartyty01
529,Daniil Miromanov,27,CGY,D,29,1,5,6,1,6,1,0,0,1,5,0,0,35,2.0,100,546.53,18.85,0,0,,42,11,9,28,miromda01
530,Scott Perunovich,26,STL,D,24,2,4,6,1,6,2,0,0,0,4,0,0,9,22.0,26,350.8,14.62,0,0,,21,9,4,18,perunsc01
531,Jeff Petry,37,DET,D,34,1,5,6,-7,12,1,0,0,1,4,1,0,23,4.0,84,652.23,19.18,0,0,,56,39,10,40,petryje01
532,Mikael Pyyhtia,23,CBJ,LW,33,4,2,6,-10,6,3,0,1,0,2,0,0,27,14.0,56,411.12,12.45,1,1,50.0,31,18,4,17,pyyhtmi01
533,Anthony Richard,28,PHI,C,7,2,4,6,4,0,2,0,0,0,3,1,0,10,20.0,15,83.4,11.92,0,0,,7,4,3,1,richaan01
534,Jan Rutta,34,SJS,D,45,1,5,6,-6,26,1,0,0,0,5,0,0,47,2.0,124,762.8,16.95,0,0,,68,32,8,45,ruttaja02
535,Max Sasson,24,VAN,F,19,2,4,6,3,0,2,0,0,0,4,0,0,23,8.0,36,196.0,10.32,21,29,42.0,11,13,5,8,sassoma01
536,Carson Soucy,30,VAN,D,42,1,5,6,-11,24,1,0,0,1,5,0,0,43,2.0,107,815.72,19.42,0,0,,70,71,12,54,soucyca01
537,Troy Stecher,30,EDM,D,37,3,3,6,1,23,3,0,0,0,3,0,0,35,8.0,76,520.87,14.08,0,0,,36,17,2,27,stechtr01
538,Alexey Toropchenko,25,STL,RW,42,1,5,6,-4,19,1,0,0,0,5,0,0,39,2.0,81,518.73,12.35,4,4,50.0,28,95,4,11,toropal01
539,Emil Andrae,22,PHI,D,20,1,4,5,3,12,1,0,0,0,2,2,0,25,4.0,74,386.13,19.3,0,0,,28,22,10,23,andraem01
540,Cam Atkinson,35,TBL,RW,24,3,2,5,-5,4,2,1,0,0,2,0,0,29,10.0,41,220.07,9.17,1,1,50.0,6,9,2,5,atkinca01
541,Nathan Bastian,27,NJD,RW,27,2,3,5,-1,27,1,0,1,1,3,0,0,24,8.0,44,276.73,10.25,3,5,37.5,13,56,0,11,bastina01
542,Jake Bean,26,CGY,D,29,2,3,5,1,6,2,0,0,0,3,0,0,31,6.0,77,449.63,15.5,0,0,,21,6,13,23,beanja01
543,Brandon Carlo,28,BOS,D,45,1,4,5,0,16,1,0,0,0,4,0,0,46,2.0,115,839.58,18.65,0,0,,99,49,12,53,carlobr01
